language,dialect,accent,source,original_text,standard_persian_translation,english_translation,dezfuli_translation,dezfuli_transliteration,lori_translation,lori_transliteration,tonekaboni_translation,tonekaboni_transliteration,semnani_translation,semnani_transliteration,southern_kurdish_kalhori_translation,southern_kurdish_kalhori_transliteration,zoroastrian_yazdi_transliteration,dari_translation,isfahani_translation,isfahani_transliteration,shirazi_translation,shirazi_transliteration,khorasani_translation,khorasani_transliteration
Luri,Bakhtiari,Chaharmahali,https://setare.com/fa/news/31251/%DB%B4%DB%B5-%D8%B6%D8%B1%D8%A8-%D8%A7%D9%84%D9%85%D8%AB%D9%84-%D8%A8%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1%DB%8C-%D9%87%D9%85%D8%B1%D8%A7%D9%87-%D8%A8%D8%A7-%D9%85%D8%B9%D9%86%DB%8C-%D9%88-%DA%A9%D8%A7%D8%B1%D8%A8%D8%B1%D8%AF-%D8%A2%D9%86-%D9%87%D8%A7/,ار نخردیم نون گندم، اما دیدیم دست مردم.,اگر نخوردیم نان گندم، اما دیدم دست مردم,"If we didn't eat wheat bread, I saw bread in people's hands.",اَر نخُوَرديم نون گندم، اما ديدُم دست مردم,"ar nakhowardim non gandom, amā didom daste mardom",ای نخردیم نون گندم، ولی دییمه دست مردم,ay nakhardim nune gandom vali didim daste mardom,نوخارْدیم نان و گَندُم، اَما بِدِیم دَستِ مَردُم.,"nokhārdim nāno gandom, ama bedeym daste mardom.",اَگٍر گُندُمین نون نَخورچیمُن، مَرتُمُن دَست بٍدیچیمُن,"ager gondomin nun nakhurchimon, martomon dast bedichimon",شاید نەخواردیمە نانە گەنم، وەلی دیمەنە دسە مەردەم,"shāyad nakhwārdima nāne ganem, wali dimena dase mardem",age mo nakhorte nun ganom mnedize dashte mārdom,اگه نخوردیم نان گندم، اما دیدیم دست مردم,نخوردیم نونی گندم، اما دیدیم دسی مردوم,nakhordim nuni gandum ammā didim dassi mardum,اَی نخوردیم نونِ گندم، ولی دیدیم دسِّ مردم.,"Ay nakhordim nune gandom, vali didim dasse mardom.",از شکل گشته,az shekl gashte
Luri,Bakhtiari,Chaharmahali,https://www.irannamag.com/article/%D9%86%DA%AF%D8%A7%D9%87%DB%8C-%D8%A8%D9%87-%DA%86%DB%8C%D8%B3%D8%AA%D8%A7%D9%86%E2%80%8C%D9%87%D8%A7%DB%8C-%D8%A8%D8%AE%D8%AA%DB%8C%D8%A7%D8%B1%DB%8C/,چنه‌چنه تا دس به تیاس نکنی، دهوون واز نیکنه؟,آن چیست تا دست به چشمش فرو نکنی، دهان باز نمی‌کند؟,What is it that he won't open his mouth until you put your hand in his eye?,عوُان چيَه كِ تا دست مِن تييَش نكنی،دونِشِ نَمگُشَ؟,"owān chiya ke tā dast mene tiyash nakoni, doneshe namgosha",وو چنه که تا دست من تیش نکنی دهوونش واز نیبو,vo chene ke tā dast men tiyash nakoni dahunesh vāz niyobu,آن چیَه تا دَسِت اینه چِش فُرو نَکُنی، دَهان باز نَکونه,"ān chiya ta das ine chesh foru nakoni, dahan bāz nako",اون چیچییَه کو تا دَست ژو دِلَه چَشون نَکِرا، آلَه مِناکٍرِه؟,"oun chichiya ko tā dast zho dela chashun nakerā, āla menākere",ئاوه چه‌س تا ده‌س نەکەیده ناو چاوی، دەم وا نەکەی؟,"āwa chas tā das nakeyda naw chāwi, dam wā nakey?",o che chion tā dashe tu chame foru nakni lope vā nakre,او چیست تا دست به چشمش فرو نکنی، دهان باز نمیکنه؟,اون چیه که تا دس تو چشش نکونی دَنش وا نیمیشِد؟,un chiye ke tā das tu cheshesh nakuni daanesh vā nimished,او چیچیه که تا دس تو چیشش نکنی، چیلشه باز نَمی‌کنه؟,"U chichieh keh tā das to chishesh nakoni, chileshe bāz namikoneh?",الخو ملخو رِفتن,alkho malkho raftan
Luri,Bakhtiari,Chaharmahali,https://www.delgarm.com/languages/153724-%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%A7%D8%A8%D8%AA%D8%AF%D8%A7%DB%8C%DB%8C-%D8%AD%D8%B1%D9%81-%D8%B2%D8%AF%D9%86-%D8%A8%D9%87-%D8%B2%D8%A8%D8%A7%D9%86-%D9%84%D8%B1%DB%8C,مَی وِت زنگ نَزِیدِن؟,مگه بهت زنگ نزدند؟,Didn't they call you?,مَر وَرِت زنگ نَزَدُن؟,mar varet zang nazandon,می وت زنگ نزهنه,mey vat zang nazahneh,مَگِه تِره زَنگ نَزَن؟,mage tere zang nazan?,مِگَه تَه رَه زَنگَه نَکوآچیشُن؟,mega ta ra zanga nakuāchishon,مەگە وە پیت زەنگ نیان؟,maga wa pit zang niyān?,mage zang shu nakoshte,مگه برت زنگ نزدن؟,مِگه زنگد نزدن؟,mege zanged nazedan,مِی بهت زنگ نزدن؟,Mey behet zang nazadan?,کند و کشال,kand o keshâl
Luri,Bakhtiari,Chaharmahali,https://www.tarafdari.com/node/1699552,داد و قال,فریاد,Shriek,قيلِ و قال,ghil va ghal,قال,qāl,فَریاد,faryād,فٍریا,feryā,هاوار,hāwār,dād,چیغ,قال کردن,qal kardan,جار,Jār,به جُل جُل افتادن,be jol jol oftâdan
Luri,Bakhtiari,Chaharmahali,https://www.tarafdari.com/node/1699552,عاجِز و بی جِز,خسته,Tired,عاجز,āgez,خسه,khasah,کرکِتال,karketāl,هٍلاک,helāk,شەکەت,shakat,muna,مانده,خسّه وا هلاک,khassevā helāk,خسّه,Khasse,توز و دلّاخ,tuz o dellâkh
Luri,Bakhtiari,Chaharmahali,https://www.tarafdari.com/node/1699552,جِست و گُروس,فرار,Escape,گُرُختَن,gorokhtan,گروختن - گروهتن,gorukhtan,فِرار,ferār,بُوْریت,bowrit,درچین,darchin,prār,گریز,فِرار,ferar,فرار,Farār,فرز,farz
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,واخخخخ څومره خوند به یی کړی وایی,بگو چقدر سرگرم‌کننده خواهد بود.,Tell me how much fun it will be,گوئُم چَقذَر مخو خوش گُذَردَ,gowom chagzar makho khosh gozarda,وم بگو قراره چق خوش بگذرده,vam begu  cheqa qarāre khosh bogzardeh,بِگو مِره چَندی خونه خُش بِگْذره,bogo mere chandi khane khosh begzare,مو رَه با چٍقٍد خُوْ مٍبو,mo ra bā cheqed khow mebu,بۆش چه‌نی قەڕاره خوش بگەزەرێد,bush chani qarāra khwash begzared,veā chekade khashon,بگو چقه سرگرم کننده خواهد بود.,بوگو بیبینم چقد قراره خوش بگذره,bugu bibinam cheqad qarāre khosh begzere,بوگو چقد حال می‌ده,Bugu cheqad hāl mideh,بِرِ چی اِقَد جُل جُل مُکُنی,bere chi eqad jol jol mokoni
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,پرپادر مو لانت شه له په دې دمکو,لعنت بر پدرت,Cursed be your father,لعنت وَر بوئَت,laanat var bowat,نعلت و بوت,nalat va bowt,تی پِیرِه لَعْنَت,ti peyare l'anat,نَلٍت بٍر تَه پییٍر,nalet ber ta piyer,له‌ئنت و باوگەت,la‘nat wa bāwget,la'nat be sarod,لعنت بر پدرت,تف تو قبری آقادا هفت جدد,tof tu qabri āqādā haf jadded,لعنت به پدرت,La‘nat be pedaret,چِقَد امشو خُنُک رِفتی,cheqad emshu khonuk rafti
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,زمونږ هيکران هم تر هيچا کم نه دي ,هکرهای ما هیچ کم از دیگران ندارند.,Our hackers are no less than anyone. ,هكرا اُمون اَ هيچكی كمتر نَيسِن,hakerā omon a hichki kamtar naysen,هکرل ایمو و همه بخترن,hakerele imo va hameh bekhtaran,امی هکِرِشان چیزی کَم از بَقّیه نِدارِن,ami hakereshan chizi kam az baghiye nedāren,هَما هَکٍری هِچ چی پی مَنٍتٍرسَن,hamā hakeri hech chi pi manetersan,هەکەڕەیلە ئیمه چەشتیگ و ئاوانە کەم نەیڕن,hakereyle ima cheshtig wa āwāna kam neyren,hakerhaye mā az ashki kamtar nahan,هکر های ما هیچ کم از دیگران ندارن.,هكرامون هیچی از بقیه کم ندارن,hakerāmun hichchi ez baqiye kam nadāran,هکروی ما از هکروی دیگه چیزی کم ندارن,Hakeroy mā az hakeroy digeh chizi kam nadāran,مو موروم دِگه,mo morom dege
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,څومره خه کار به شوی وه,خیلی جالب خواهد بود.,It would be very interesting.,ايان خيلی خوبَ,iyan kheyli khoba,مهلی خوب ایبو,mahli khub ibu,خیلی جالِب بونه,kheili jāleb bune,خِیلی جالٍب مٍبو,kheyli jāleb mebu,فره جالبوو بوو,fera jālebow bud,kheyli jāleba bo,بسیار جالب خواهد بود.,قرارس خیلی خب باشِد,qarāres kheyli khob bāshed,خیلی جالب می‌شه,Kheili jāleb misheh,چُقذَر گرجه مِخِی بُبُری,choqadar gorje mikhi bobori
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,بس انتظار یو ستاسو خواږې لوبې ته,فقط منتظر یکی از بازی‌های شیرینت باش.,Just wait for one of your sweet games,فقط صبر سی یکی از بازیا شِرینت,faght sabr si yeki bāziya sherinet,فق منتظر یکی و بوزیل خووت بو,faqa montazere yeki va bowziyale khubet bu,فَقَد مُنتَظِرِه یکی از بازی‌های شیرینِت بو,faghad montazere yeki az bāzihāye shirinet bu,فَقٍد مُنتَظٍری ای وازی‌یی شٍرینی با,faqed montazeri i vāziyi sherini bā,فەقەت چاو وه ڕی یەکیگ لە بازیەیلە شیرینەد بوو,faghad chāw wa rri yakig la bāzieyle shirined bu,paghat chame rāe yaki az chmāshoye khashod bo,فقط منتظر یکی از بازی های شیرینت باش.,صبر میکونیم بیبینیم شوما چه ترکه‌ی ترکون میکونین,sabr mikunim bibinim shuma che terkey terekun mikunin,فقط وُیسو برِی یکی از بازیوی باحالت,Faghat voyso barey yeki az bāzioy bāhālet,بازی رِ مُبُرُم,bâzi re moborom
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,همدا   اور  چی نور تاز شی ډیر خوند به وکی انتظار یو,ما منتظر تازه‌ترین آتش خواهیم ماند,We will wait for the most fresh fire,سی تشِ نويی صبرِ كنيم,si tashe nowei sabr konim,تیمونه و روزل خوب دختیمه,tiyamuneh va ruzale khub dokhtimeh,مُنتَظِرِه تازه آتیش حِسّیم.,montazere tāze ātish hessim.,هَما مُنتَظٍری تازَه‌تٍرین آتٍشی مٍمُنین,hamā montazeri tāzaterin āteshi memonin.,چاو وه ڕی ئاگەرە تازە بووم,chāw wa rri āgere tāza buym,mā cham be rāye tāzhatarin tash banobim,ما منتظر تازه ترین آتش خواهیم ماند,برا یه آتیشی نو صبر میکونیم,barā ye ātishi no sabr mikunim,ما برِی تازه‌ترین آتیش منتظر می‌مونیم,Ma barey tāzetarin ātish montazer mimunim,او چاقون نُمُبُره,u châqun nomobore
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,ده سى واىاچى ده نه جوړىګى,به این معناست که، ساخته نخواهد شد.,"Means that, it will not build .",یعنی نَمسازِهَ,yani namsāzeha,ینی هیچ وقت تمام نیبو,yani hich vaqt tamām nibu,یعنی این‌که، کار نَکَنه.,"yani inke, kār nakane.",یَعنی اٍن کو ساختَه مَنٍبو.,yani en ko sākhta manebu,یانی کار نەکەید,yāni kār nakeyd,yani sāt nashut,به ای معناست که، ساخته نخواهد شد.,یعنی میگن این ساخته نیمیشد,yaani migan in sākhte nimished,یَنی ساخته نمی‌شه,Yani sākhteh namisheh,اونارِ بِذِرِن تو اِشکاف,unâre bezarin tu eshkâf
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,له که چی په لسو کارګرانو یی جوړوی چی ۱۵ کاله وخت نیسی,با اینکه از ده کارگر تشکیل شده است، 15 سال طول می‌کشد.,"Although it is made up of ten workers, it takes 15 years",اَرچِ ده تا كارگر دارَ، پونزده سال طولِ كَشَ,arche dah tā kārgar dāra ponzdah sāl tole kasha,ده نفری ریش کار ایکنن پونزده سال طول ایکشه,dah nafari rish kār ikenan punzdah sāl tul ikesheh,گَرچه از ۱۰ تا کارِگَر تَشکیل بابا، ۱۵ سال طول کَشِنه.,"garche az 10 ta karegar tashkil bābā, 15 sāl tul kashene.",با اٍنی کو دَس کاریگٍری دَرَن، پُنزَه سالی طول مِنجِه.,"bā eni ko das kārigeri daran, ponza sāli tul menje.",وە ده گەله فەله تشکیلوو بیه، ئەما پانزە ساڵ توول کێشه‌د,"wa da gela fala tashkilow biya, ama pānza sal tul kished",agerche az datā kāregar sāteshta vali punza sāl tule kashe,با اینکه از ده کارگر تشکیل شده، ۱۵ سال طول میکشه.,درسه که ده تا کارگر ساختندش اما پونزه سال طول کشید,dorosse ke daa tā kārgar sākhtandesh amā punzaa sāl tul keshid,با ایکه دَ تو کارگر داره،‌ پونزَ سال طول می‌کشه,"Bā ike da to kārgar dāreh, punza sāl tul mikeshe",اِقذر توشله بازی نکن,eqadar tushele bâzi nakon
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,داسې معلومېږي چې لوگر ته به هم نور خلک طياره کښې ځي ...,به نظر می‌رسد که سایر افراد نیز با هواپیما به لوگر خواهند رفت ...,It seems that other people will also go to Logar by plane ...,مَرسی بقیه مردمم پِ طَيارِ بِرُوِن لوگار,maresi baghiyeh mardomam pe tayāre berown logār,فکر ایکونوم بوقیشین بی هواپیما ایرن لوگار,fekr ikonom bowqishun bey havāpeymā iren Logar,به نَظَر آنه که بَقّیه آدَمِشان هم با تَیّاره شونِن لوگار.,be nazar āne ke baghiye ādameshān ham bā tayāre shonen Logār.,خالمٍکَه اَفرادی دیگٍری هَم با هٍواپِیمِن لوگٍر مٍشین.,khālmeka afrādi digeri ham bā hevāpeymen luger meshin.,وە نەزەر تێیەی ئاێمەیل ترَکیش و هواپەیما چەنە لۆگار,wa nazar tiyey āyemeyle terakish wa hawāpeymā chena logār,be cha merasa ge ādamoye be ji bano khoze havāpeimā be Logere shan,به نظر میرسه که سایر افراد نیز با طیاره به لوگر خواهند رفت ...,انگار بقیه مردومم با هواپیما میرن لوگار,engār baqiye mardumam bā havāpeyma miran logār,مِثکه کسوی دیگِیِم با هواپیما به لوگر می‌رن,Meske kasoy degeiam bā hāvāpeyma be logar miran,بِرِم غُطِه بُخُرِم,berem ghote bokhorim
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,ددی هوایی ډګر جوړیدل هم داسی بریښی لکه مریخ ته تګ,ساخت این فرودگاه نیز به نظر می‌رسد مشابه رفتن به مریخ باشد.,The construction of this airport also looks like going to Mars,ساختن ای فرودگاهم لِف رفتن بِ مريخَ,sākhtan i forodgah lefe raftan be merikha,ساخت ای فرودگاهم می مریخ رهتنه,sakhte I forudgāham mey merikh rahtaneh,به نَظَر آنه که ساخته این فرودگاه هم مِریخ رِسِنه.,be nazar āne ke sākhte in furudgāh ham merikhe resene.,ساختی اٍن فُرودگِن هَم مٍثلی مٍرّیخ بٍشییُنی مٍمُنِه.,sākhti en forudgen ham mesli merrikh beshiyoni memone.,وە نەزەر تێیەی دۆرۆس کەردنە ئی فڕودگاهه ڕەسەده مەڕیخ,wa nazar tiyey doros kerdene i furudgāha raseda merrikh,sātvune mo porudgāe rowe shozvun be merikhon,ساخت ای میدان هوایی نیز به نظر میرسه مشابه رفتن به مریخ باشه.,ساختنی این فرودگام تا ابد قرارس طول بکشد,sākhtani in forudgām tā abad qarāres tul bekeshed ,ساختن ای فورودگوَم عین رفتن به ماهه,Sākhtane i furudgowam eine raftan be māhe,بِرِم بالا بوم,berem balâ bum
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,drāxte miva kərm az xošon.,درخت میوه کرم از خودش است. ,The fruit tree of a worm comes from itself.,كرم اَ خود درختَ,kerm a khod derakhta,دار میوه کرم و خوشه,dāre mive kerm va khosheh,دِرَختِ میوه کِرْم از خُودِشِه.,derakhte mive kerm az khodeshe,میوَه دارین کٍرم، ژین پی‌یَه.,"miva dārin kerm, zhin piya.",دارە میوە، کەرم لە خۆویه,"dāre miwa, kerm la khowya","drākhte miva kerm az khoshon.
",درخت میوه کرم از خودش است. ,کرم از خودی درخده,kerm ez khodi derakhde,درخت میوه کرم از خودشه,Derakhte mive kerm az khodeshe,بره چی اوجور پال پال مُکُنی,bere chi ujur pâl pâl mokoni
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,bare bā ge mudi tā toge bā mnediza.,بیرون باغ که دیدیم تا انتهای باغ را دیده ایم. ,"Once we see outside the garden, we have seen the end of the garden.",دَر باغَ كه ديديم مَرِسی كلِ باغَ ديديمَ,dar bāgh ke didim maresi kole bāgha didima,در باغه که دیمه تا بن باغم دیدیمه,dare bāghe ke dimeh tā bone bāgham didimeh,بیرونِ باغه که بِدِیم تا تَهِ باغه بِدِیم/بوخانسوم,birune bāghe ke bedeym ta tahe baghe bedeym,بیرینی رَزی کو بٍدیمُن، خالمٍکَه تا تَیی رَزی بٍدیچیمُن,"birini razi ko bedimon, khālmeka tā tayi razi bedichimon",درە باخەگه بونی، تا تایی باخ دونی,"dāre bākhaga buni, tā tāy bākh duni",bare bā ge mudi tā toge bā mnediza.,بیرون باغ که دیدیم تا انتهای باغ را دیده ایم. ,دری باغا که دیدیم انگار تا تَشا دیده‌یم,dari bāghā ke didim engār tā taashā dideym,بیرون باغُ که دیدیم، انگو تا تَهِ باغُ دیدیم.,"Birune bāgho ke didim, engo tā tahe bāgho didim.",اِقَد راه رِفتُم پام پُفله رِفته,eqad râh raftom pâm pofle rafte
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,gap agə tu šeša kre barə šu.,حرف اگر داخل شیشه کنی به بیرون درز خواهد کرد. ,"If you put a word in a jar, it will leak out.",قِصَنِ اَر مِ شيشه هم كُنی دَرزِ كُنِ در,ghesane ar me shisheh ham koni darz kone dar,ای گپه من شیشه کنی هم ایزنه در,ay gapeh men shisheh koni ham izeneh dar,حَرفِ اَگه شیشهٔ دِلِه اَکُنی، به بیرون دَرز نَکَنه.,harfe age shishe dele akoni be birun darz nakane.,حٍکاتی اَگٍه دٍلَه شیشِه کَه، بازَم بٍه بیرین دَرز ماکٍرِه.,"hekāti age dela shishe ka, bāzam be birin darz mākere.",قسە ئەگەر بکەیدە‌ی ناو شیشە، پەخشوو بوود,"ghessa aga bekeydey nāwe shisha, pakhshow bud",gap age tu shesha kre bare shu.,حرف اگر داخل شیشه کنی به بیرون درز خواهد کرد. ,حرفا اگه تو شیشه‌م کنی به بیرون درز میکونه,ghesane ar me shisheh ham koni darz kone dar,حرفه اَی داخل شیشه کنی به بیرون درز می‌کنه.,Harfe ay dākhele shisheh koni be birun darz mikoneh.,بِرِم یکم تُو بخورِم دلمان وا ره,berem yekam tu bokhorim delmân vâ re
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,gap tā tu dəle xoda hokme xoda.,حرف تا در دل داری در اختیار تست.,The letter you hold in your heart is at your disposal.,قصه تا مِنِ دِلتَ مالِ خوتَ,gheseh tā mene delta māle khota,تا حرف من دلته من دسته,tā harf men deleteh men daseteh,حَرف تَا دِلِه مین داری، تی اختیار دره.,harfe ta dele miyan dāri ti ekhtiār dare.,حٍکاتی تا دٍلَه دٍلی دار، ژُن اٍختیار تَه دَست دَرَه.,"hekāti tā dela deli dār, zhon ekhtiyār ta dast dara.",قسە تا ها ناو دڵەت هەنە خۆوده,ghessa tā hā nāwe delet hene khowada,gap tā tu dele khoda hokme khoda.,حرف تا در دل داری در اختیار تست.,حرف تا وختی به زبون نیمده‌س مالی توئه,harf tā vakhti be zabun naymedes mali toe,حرف تا وقتی تو دلته اختیارش دسِّته.,Harf tā vaqti tu delete ekhtiāresh dassete.,جینگی برو و بیا,jingi bere o biyâ
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,dəl xo sopra nahon piše hma pečo kre.,دل که سفره نیست پیش همه پهن کنی. ,The heart is not a table to spread out before everyone.,دلت سفره نی كه وَر كل گُشيِش,delet sofreh ni ke var kol goshish,دل نه سفره ی که تی همه پهنش کنی,del na sofrehye ke tey hameh pahnesh koni,دِل ‌خا سفره نِیه هَمه پیش وا هَکُنی.,del khā sofre neya hame pish vā hakoni.,دٍل سُفرَه کو نییَه، هَمُنُن گَل هیلا واکَه.,"del sofra ko niya, hamonon gal hilā vāka.",دڵ سەفره نیە ئەڕا هەر کەسیگ پانی بکەید,del sefra niya arrāy har kasig pāni bekeyd,del kho sopra nahon pishe hma pecho kre.,دل که سفره نیست پیش همه پهن کنی. ,دل که سفره نیس پیشی هر کس آ ناکسی پَنش کونی,del ke sofre nis pishi har kesā nakesi paanesh kuni,دل که سفره نیس که پیش همه پهنش کنی.,Del ke sofreh nis ke pishe hameh pahnesh koni.,جَلدی می‌یی,jaldi miyi
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,xerso šnə āhəngəri bāšta.,خرس را به آهنگری بسته‌اند.,A bear has been tied to a blacksmith.,خرسِ بَسِنِ به آهنگری,kherse basen be āhangari,خرس به اهنگری بسنه,kherse be ahangari baseneh,خِرسِ آهنگری دَوِسَن.,kherse āhangari davesan.,خٍرسی بٍبٍرچیشُن اُوْنگٍری.,khersi beberchishon owngeri.,خەرس بسەنە و ئاھەنگەری,khers basena wa āhangari,kherso shne āhengeri bāshta.,خرس را به آهنگری بسته‌اند.,خرسا بسه‌ن به آهنگری,khersā bassaan be āhangeri,خرسو به آهنگری بسَّن.,Kherso be āhangari bassan.,اِقذر جز نزن,eqadar jaz nazan
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,agə ow šə tu yāna ə vəka ge bekuze nahārza bikār be.,اگر باید آب را در هاون کند که بکوبی نمی‌گذارد بیکار باشی. ,"If you need to grind water in a mortar to break it down, it doesn't allow you to be idle.",اَر وَنت اوِ مِن هاونِ كند كويی نَمهِلَت بيكار بويی,ar vanet ow men hāvane kond kowi namhalat bikar bowi,ای همی یو بود که اوه وت بده من هاون بکوبی ایدت,ay hami yo bu ke oweh vat bedeh men hāvan bekubi idet,اَگَر آبه ‌هاونه مین دَکُنِن، نِزارنِن تو بیکار بی.,agar ābe hāvane miyan dakonen nezārnen to bikār bi.,اَگٍه گیابو اُوْ دٍلَه هُوٍنگی بَکوتَن، تَه مٍنارزِه ویکار با.,"age giyābu ow dela hovengi bakutan, ta menārze vikār bā.",ئەگەر بایه ئاو لە هاوان بکەید تا بۆکوتی، نەیڵێد بیکاڕوو بوود,"agar bāya āw la hāwan bekeyd tā bokoti, neyled bikārow bud",agə ow she tu yānae veka ge bekuze nahārza bikār be.,اگر باید آب را در هاون کند که بکوبی نمی‌گذارد بیکار باشی. ,شده‌س میگد آبا تو هاون بوکوبی اما نیمی‌ذارد ول بگردی,shodees miged āba tu hāvan bukubi ammā nimizāred vel begardi,ای آبُ تو هوَنگ کنه که بوکوبی، نَمی‌ذاره بیکار باشی.,"Ay ābo tu howang koneh ke bukubi, namizāreh bikār bāshi.",چینگِتِ وا کن,chinget vâ kon
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,"kur agə bāzār našu bāzār gənə prāna. 
",کور اگر بازار نرود بازار می‌گندد.,"If a blind person doesn't go to the market, the market will rot.",کور اَر نَروِ بازار، بازار گَندَ,"kor ar narowe bāzār, bāzār ganda",کور ای نره بازار بازار گند ایکنه,kur ay nareh bāzār bāzār gand ikoneh,کُور اَگه بازار نُشه، بازار گَندِنه.,kur age bāzār noshe bāzār gandene,کور اَگٍه واژار نَشو، واژار مٍگُندییِه,"kur age vāzhār nashu, vāzhār megondiye",کور ئەگەر نەچوودا بازاڕ، بازاڕ گه‌نە,"kur agar nachuda bāzār, bāzār gane",kur agə bāzār nashu bāzār gene prāna. ,,کور اگه بازار نَرِد بازار می‌گندِد,kur ege bāzār nared bāzār miganded,کور اَی بازار نره بازار می‌گنده.,Kur ay bāzār nareh bāzār migandeh.,یره چقد خیت رِفت,yere cheqad khit raft
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,owdə kize āxəra.,آیت کرت آخر است. ,you’re finished / it’s over for you,كارِت تَمومَ,kāret tamoma,د کارت تمومه,de kāret tamumeh,این آخَرین دَفعه‌.,in ākharin dafa',اٍن آخٍرین کَردَه‌یَه.,en ākherin kardaya.,یه کەرتە ئاخەرە,ya kerte akhera,owde kize ākhera.,,کارد تمومه,kāred temume,آیت کارت آخره.,Āyat kāret akhere.,کِلَم دِلنگون بود سرگیجا رِفتُم,kelam delengun bud sargijâ raftom
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,čākən həmiša toge čāha.,چاه کن همیشه ته چاه است. ,The digger is always at the bottom of the pit.,چَه كن هميشه ته چه است,chah kan hamisheh tah chah ast,چه کن همیشه من بن چهیه,chah kan hamisheh men bone chahyeh,چاه کَن همیشه تَهِ چاه دره.,chāh kan hamishe tahe chā dare,چاخو هَمیشَه تَیی کِئین دَرَه.,chākhu hamisha tayi kein dara.,چاکن هەمیشە ها تای چا,chākan hamisha hā tāy chā,chāken hemisha toge chāha.,آیت کرت آخر است. ,چا کِن همیشه ته چاس,chā ken hamishe taa chāās,چاکَن همیشه تَ چاهه.,Chākan hamisheh ta chāhe.,چی دولَخ رِفت,chi dolakh raft
