language,dialect,accent,source,original_text,standard_persian_translation,english_translation,dezfuli_translation,dezfuli_transliteration,lori_translation,lori_transliteration,tonekaboni_translation,tonekaboni_transliteration,semnani_translation,semnani_transliteration,southern_kurdish_kalhori_translation,southern_kurdish_kalhori_transliteration,zoroastrian_yazdi_transliteration
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,بس انتظار یو ستاسو خواږې لوبې ته,فقط منتظر یکی از بازی‌های شیرینت باش.,Just wait for one of your sweet games,فقط صبر سی یکی از بازیا شِرینت,faght sabr si yeki bāziya sherinet,فق منتظر یکی و بوزیل خووت بو,faqa montazere yeki va bowziyale khubet bu,فَقَد مُنتَظِرِه یکی از بازی‌های شیرینِت بو,faghad montazere yeki az bāzihāye shirinet bu,فَقٍد مُنتَظٍری ای وازی‌یی شٍرینی با,faqed montazeri i vāziyi sherini bā,فەقەت چاو وه ڕی یەکیگ لە بازیەیلە شیرینەد بوو,faghad chāw wa rri yakig la bāzieyle shirined bu,paghat chame rāe yaki az chmāshoye khashod bo
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,همدا   اور  چی نور تاز شی ډیر خوند به وکی انتظار یو,ما منتظر تازه‌ترین آتش خواهیم ماند,We will wait for the most fresh fire,سی تشِ نويی صبرِ كنيم,si tashe nowei sabr konim,تیمونه و روزل خوب دختیمه,tiyamuneh va ruzale khub dokhtimeh,مُنتَظِرِه تازه آتیش حِسّیم.,montazere tāze ātish hessim.,هَما مُنتَظٍری تازَه‌تٍرین آتٍشی مٍمُنین,hamā montazeri tāzaterin āteshi memonin.,چاو وه ڕی ئاگەرە تازە بووم,chāw wa rri āgere tāza buym,mā cham be rāye tāzhatarin tash banobim
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,ده سى واىاچى ده نه جوړىګى,به این معناست که، ساخته نخواهد شد.,"Means that, it will not build .",یعنی نَمسازِهَ,yani namsāzeha,ینی هیچ وقت تمام نیبو,yani hich vaqt tamām nibu,یعنی این‌که، کار نَکَنه.,"yani inke, kār nakane.",یَعنی اٍن کو ساختَه مَنٍبو.,yani en ko sākhta manebu,یانی کار نەکەید,yāni kār nakeyd,yani sāt nashut
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,له که چی په لسو کارګرانو یی جوړوی چی ۱۵ کاله وخت نیسی,با اینکه از ده کارگر تشکیل شده است، 15 سال طول می‌کشد.,"Although it is made up of ten workers, it takes 15 years",اَرچِ ده تا كارگر دارَ، پونزده سال طولِ كَشَ,arche dah tā kārgar dāra ponzdah sāl tole kasha,ده نفری ریش کار ایکنن پونزده سال طول ایکشه,dah nafari rish kār ikenan punzdah sāl tul ikesheh,گَرچه از ۱۰ تا کارِگَر تَشکیل بابا، ۱۵ سال طول کَشِنه.,"garche az 10 ta karegar tashkil bābā, 15 sāl tul kashene.",با اٍنی کو دَس کاریگٍری دَرَن، پُنزَه سالی طول مِنجِه.,"bā eni ko das kārigeri daran, ponza sāli tul menje.",وە ده گەله فەله تشکیلوو بیه، ئەما پانزە ساڵ توول کێشه‌د,"wa da gela fala tashkilow biya, ama pānza sal tul kished",agerche az datā kāregar sāteshta vali punza sāl tule kashe
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,داسې معلومېږي چې لوگر ته به هم نور خلک طياره کښې ځي ...,به نظر می‌رسد که سایر افراد نیز با هواپیما به لوگر خواهند رفت ...,It seems that other people will also go to Logar by plane ...,مَرسی بقیه مردمم پِ طَيارِ بِرُوِن لوگار,maresi baghiyeh mardomam pe tayāre berown logār,فکر ایکونوم بوقیشین بی هواپیما ایرن لوگار,fekr ikonom bowqishun bey havāpeymā iren Logar,به نَظَر آنه که بَقّیه آدَمِشان هم با تَیّاره شونِن لوگار.,be nazar āne ke baghiye ādameshān ham bā tayāre shonen Logār.,خالمٍکَه اَفرادی دیگٍری هَم با هٍواپِیمِن لوگٍر مٍشین.,khālmeka afrādi digeri ham bā hevāpeymen luger meshin.,وە نەزەر تێیەی ئاێمەیل ترَکیش و هواپەیما چەنە لۆگار,wa nazar tiyey āyemeyle terakish wa hawāpeymā chena logār,be cha merasa ge ādamoye be ji bano khoze havāpeimā be Logere shan
Pashto,Pashto,General,Pashto-English Bilingual Sentiment Corpus,ددی هوایی ډګر جوړیدل هم داسی بریښی لکه مریخ ته تګ,ساخت این فرودگاه نیز به نظر می‌رسد مشابه رفتن به مریخ باشد.,The construction of this airport also looks like going to Mars,ساختن ای فرودگاهم لِف رفتن بِ مريخَ,sākhtan i forodgah lefe raftan be merikha,ساخت ای فرودگاهم می مریخ رهتنه,sakhte I forudgāham mey merikh rahtaneh,به نَظَر آنه که ساخته این فرودگاه هم مِریخ رِسِنه.,be nazar āne ke sākhte in furudgāh ham merikhe resene.,ساختی اٍن فُرودگِن هَم مٍثلی مٍرّیخ بٍشییُنی مٍمُنِه.,sākhti en forudgen ham mesli merrikh beshiyoni memone.,وە نەزەر تێیەی دۆرۆس کەردنە ئی فڕودگاهه ڕەسەده مەڕیخ,wa nazar tiyey doros kerdene i furudgāha raseda merrikh,sātvune mo porudgāe rowe shozvun be merikhon
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,drāxte miva kərm az xošon.,"درخت میوه کرم از خودش است. ",The fruit tree of a worm comes from itself.,كرم اَ خود درختَ,kerm a khod derakhta,دار میوه کرم و خوشه,dāre mive kerm va khosheh,دِرَختِ میوه کِرْم از خُودِشِه.,derakhte mive kerm az khodeshe,میوَه دارین کٍرم، ژین پی‌یَه.,"miva dārin kerm, zhin piya.",دارە میوە، کەرم لە خۆویه,"dāre miwa, kerm la khowya","drākhte miva kerm az khoshon.
"
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,bare bā ge mudi tā toge bā mnediza.,"بیرون باغ که دیدیم تا انتهای باغ را دیده ایم. ","Once we see outside the garden, we have seen the end of the garden.",دَر باغَ كه ديديم مَرِسی كلِ باغَ ديديمَ,dar bāgh ke didim maresi kole bāgha didima,در باغه که دیمه تا بن باغم دیدیمه,dare bāghe ke dimeh tā bone bāgham didimeh,بیرونِ باغه که بِدِیم تا تَهِ باغه بِدِیم/بوخانسوم,birune bāghe ke bedeym ta tahe baghe bedeym,بیرینی رَزی کو بٍدیمُن، خالمٍکَه تا تَیی رَزی بٍدیچیمُن,"birini razi ko bedimon, khālmeka tā tayi razi bedichimon",درە باخەگه بونی، تا تایی باخ دونی,"dāre bākhaga buni, tā tāy bākh duni",bare bā ge mudi tā toge bā mnediza.
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,gap agə tu šeša kre barə šu.,"حرف اگر داخل شیشه کنی به بیرون درز خواهد کرد. ","If you put a word in a jar, it will leak out.",قِصَنِ اَر مِ شيشه هم كُنی دَرزِ كُنِ در,ghesane ar me shisheh ham koni darz kone dar,ای گپه من شیشه کنی هم ایزنه در,ay gapeh men shisheh koni ham izeneh dar,حَرفِ اَگه شیشهٔ دِلِه اَکُنی، به بیرون دَرز نَکَنه.,harfe age shishe dele akoni be birun darz nakane.,حٍکاتی اَگٍه دٍلَه شیشِه کَه، بازَم بٍه بیرین دَرز ماکٍرِه.,"hekāti age dela shishe ka, bāzam be birin darz mākere.",قسە ئەگەر بکەیدە‌ی ناو شیشە، پەخشوو بوود,"ghessa aga bekeydey nāwe shisha, pakhshow bud",gap age tu shesha kre bare shu.
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,gap tā tu dəle xoda hokme xoda.,حرف تا در دل داری در اختیار تست.,The letter you hold in your heart is at your disposal.,قصه تا مِنِ دِلتَ مالِ خوتَ,gheseh tā mene delta māle khota,تا حرف من دلته من دسته,tā harf men deleteh men daseteh,حَرف تَا دِلِه مین داری، تی اختیار دره.,harfe ta dele miyan dāri ti ekhtiār dare.,حٍکاتی تا دٍلَه دٍلی دار، ژُن اٍختیار تَه دَست دَرَه.,"hekāti tā dela deli dār, zhon ekhtiyār ta dast dara.",قسە تا ها ناو دڵەت هەنە خۆوده,ghessa tā hā nāwe delet hene khowada,gap tā tu dele khoda hokme khoda.
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,dəl xo sopra nahon piše hma pečo kre.,"دل که سفره نیست پیش همه پهن کنی. ",The heart is not a table to spread out before everyone.,دلت سفره نی كه وَر كل گُشيِش,delet sofreh ni ke var kol goshish,دل نه سفره ی که تی همه پهنش کنی,del na sofrehye ke tey hameh pahnesh koni,دِل ‌خا سفره نِیه هَمه پیش وا هَکُنی.,del khā sofre neya hame pish vā hakoni.,دٍل سُفرَه کو نییَه، هَمُنُن گَل هیلا واکَه.,"del sofra ko niya, hamonon gal hilā vāka.",دڵ سەفره نیە ئەڕا هەر کەسیگ پانی بکەید,del sefra niya arrāy har kasig pāni bekeyd,del kho sopra nahon pishe hma pecho kre.
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,xerso šnə āhəngəri bāšta.,خرس را به آهنگری بسته‌اند.,A bear has been tied to a blacksmith.,خرسِ بَسِنِ به آهنگری,kherse basen be āhangari,خرس به اهنگری بسنه,kherse be ahangari baseneh,خِرسِ آهنگری دَوِسَن.,kherse āhangari davesan.,خٍرسی بٍبٍرچیشُن اُوْنگٍری.,khersi beberchishon owngeri.,خەرس بسەنە و ئاھەنگەری,khers basena wa āhangari,kherso shne āhengeri bāshta.
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,agə ow šə tu yāna ə vəka ge bekuze nahārza bikār be.,"اگر باید آب را در هاون کند که بکوبی نمی‌گذارد بیکار باشی. ","If you need to grind water in a mortar to break it down, it doesn't allow you to be idle.",اَر وَنت اوِ مِن هاونِ كند كويی نَمهِلَت بيكار بويی,ar vanet ow men hāvane kond kowi namhalat bikar bowi,ای همی یو بود که اوه وت بده من هاون بکوبی ایدت,ay hami yo bu ke oweh vat bedeh men hāvan bekubi idet,اَگَر آبه ‌هاونه مین دَکُنِن، نِزارنِن تو بیکار بی.,agar ābe hāvane miyan dakonen nezārnen to bikār bi.,اَگٍه گیابو اُوْ دٍلَه هُوٍنگی بَکوتَن، تَه مٍنارزِه ویکار با.,"age giyābu ow dela hovengi bakutan, ta menārze vikār bā.",ئەگەر بایه ئاو لە هاوان بکەید تا بۆکوتی، نەیڵێد بیکاڕوو بوود,"agar bāya āw la hāwan bekeyd tā bokoti, neyled bikārow bud",agə ow she tu yānae veka ge bekuze nahārza bikār be.
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,"kur agə bāzār našu bāzār gənə prāna. 
",کور اگر بازار نرود بازار می‌گندد.,"If a blind person doesn't go to the market, the market will rot.",کور اَر نَروِ بازار، بازار گَندَ,"kor ar narowe bāzār, bāzār ganda",کور ای نره بازار بازار گند ایکنه,kur ay nareh bāzār bāzār gand ikoneh,کُور اَگه بازار نُشه، بازار گَندِنه.,kur age bāzār noshe bāzār gandene,کور اَگٍه واژار نَشو، واژار مٍگُندییِه,"kur age vāzhār nashu, vāzhār megondiye",کور ئەگەر نەچوودا بازاڕ، بازاڕ گه‌نە,"kur agar nachuda bāzār, bāzār gane","kur agə bāzār nashu bāzār gene prāna. "
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,owdə kize āxəra.,"آیت کرت آخر است. ",you’re finished / it’s over for you,كارِت تَمومَ,kāret tamoma,د کارت تمومه,de kāret tamumeh,این آخَرین دَفعه‌.,in ākharin dafa',اٍن آخٍرین کَردَه‌یَه.,en ākherin kardaya.,یه کەرتە ئاخەرە,ya kerte akhera,owde kize ākhera.
Persian,"Dari, Zoroastrian",Yazdi,پایان‌نامه ارشد دکتر قدردان- پیوست ۲ - چند ضرب‌المثل,čākən həmiša toge čāha.,"چاه کن همیشه ته چاه است. ",The digger is always at the bottom of the pit.,چَه كن هميشه ته چه است,chah kan hamisheh tah chah ast,چه کن همیشه من بن چهیه,chah kan hamisheh men bone chahyeh,چاه کَن همیشه تَهِ چاه دره.,chāh kan hamishe tahe chā dare,چاخو هَمیشَه تَیی کِئین دَرَه.,chākhu hamisha tayi kein dara.,چاکن هەمیشە ها تای چا,chākan hamisha hā tāy chā,chāken hemisha toge chāha.
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,قیمت غذا مسبت به حجم غذا خیلی خیلی گرون و غیر منصفانه ست ساندویچ هیولای ژامبون در حد بچه غول هم نبود و اصلا هم خوشمزه نبود اما ساندویچ چوریتسو عالی و بسیار بسیار خوشمزه بود,قیمت غذا مسبت به حجم غذا خیلی خیلی گرون و غیر منصفانه ست ساندویچ هیولای ژامبون در حد بچه غول هم نبود و اصلا هم خوشمزه نبود اما ساندویچ چوریتسو عالی و بسیار بسیار خوشمزه بود,"The price of food is very, very expensive and unfair compared to the portion size. The giant ham sandwich was not even at the level of a baby giant and was not tasty at all, but the chorizo sandwich was excellent and very, very delicious.",قیْمت غذا نسبت به حجم غذا خيلی خیلی گرون است ساندویچ هیولای ژامبون در حد بچه غول هم نَبيد و اصنم هم خوشمزه نبید ولی ساندویچ چوریتسو عالی و بسیار بسیار خوشمزه بید,ghaymet ghazā nesbat be hajm ghazā kheyli kheyli gron ast sāndevich hayolāye jhambon dar had bache ghol ham nabid va asanam ham khoshmazeh nabid vali sāndevich choritso āali va besyār besyār khoshmaze bid,ایقد غذا و قیمتش نیارزه ساندویچ هیولای ژامبون قد بچه غولم نبی و اصن طوم نداشت اما ساندویچ چوریتسو خوب و خوش طوم بید,iqad ghazā va qeymatesh niyarzeh sandviche hayulaye zhāmbun qade bacheh ghulam nabi va asan tum nadāsht amā sandvich choritso khubo khosh tum bid,غذا قیمت به نِسبَتِ اینه حجم خیلی گِران و غِیرِ مُنصِفانه هِسِه، ساندویچِ هیولای ژامبون در حَدِ وَچه‌غول هم نَبا، اَما ساندویچِ چوریتسو عالی و بسیار بسیار خوش‌مَزه با.,"ghazā gheymat be nesbate ine hajm kheili gerān o gheire monsefāne hese, sandeviche hayulāye zhāmbon dar hade vache ghul ham nabā ama sāndeviche choritso āli o besyār besyār khoshmaze bā.",قِیمٍتی چی نٍسبٍت بٍه میقدار غٍذایی، خِیلی گٍرُنَه وُ مُنصٍفانَه نییَه. ساندِویچ هَیولایی ژامبون، دٍر حَدّی وَچَه غولی هَم نَبا، اَصلَن هَم بامَزَه نَبا، اَمّا ساندِویچی چوریتسو عالی و خِیلی بامَزَه با.,"qeymeti chi nesbet be miqdār ghezāyi, kheyli gerona vo monsefāna niya. sāndevich hayulāii zhāmbun, der haddi vacha ghuli ham nabā, aslan ham bāmaza nabā, ammā sāndevichi churitsu āli o kheyli bāmaza bā.",قەیمەتە ئاو یەی زڕه قەزا نێسبەت وە ئەندازەی فره فره بان بی. وەڵا حەق نەیێو. ساندوێجەگێ هەیولای ژەمبۆن لە حەد یەی منالە غولێگیش نەیێو. ئەصڵنیش مەزه نیاشت. وەڵی ساندوێجە چوریتسو فره خاس بی فره فره خۆشمزه بی,gheymate āw yey zarra ghazā nesbat wa andāzey fera fera bān bi. welā hagh neyw. sāndewije hayulāy zhambon dar hadde yey menāle ghuligish neyw. aslanish maza niyāsht. wali sāndewije churitsu fera khās bi fera fera khoshmaza bi,kimate chom nesbat be hajmosh kheyli kheyli gerunon o ziāti gerunon sāndeviche hayulāye zhāmbon kade vache ghul ji nabo aslosh ji mazash nadārt vali sāndeviche choritso āli o kheyli kheyli khash bo
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,لطف کنید از عکس‌های اینترنتی استفاده نکنید و عکس خوده محصولتون رو بزارید. اخه این کجا و اون کجا. متاسفام,لطف کنید از عکس‌های اینترنتی استفاده نکنید و عکس خوده محصولتون رو بزارید. اخه این کجا و اون کجا. متاسفام,Please do not use internet photos and upload a picture of your actual product. This is not the same as that. I'm sorry.,بی زحمت اَ عكسا اينترنتی استفاده نكنيد و عكس همون چيه وَنيد. خُب ای كجا و او كجا. متاسفم,bi zahmat a aksā interneti estefādeh nakonid va akse hamon chiyeh vanid. khob i kojā va o kojā. moteasefam,لطف کنین و عکسل اینترنتی استفاده نکنید و عکس محصولتونه بیلین. یو کجا و وو کجا. متاسفم,lotf konin va aksale interneti estefādeh nakonid va aks mahsuletuneh beylin yo koja'ow vo koja. Motasefam,لُطف اَکونین از عکسِ اینترنتی استفاده نَکونین و عکسِ خُوده محصول بَنین. آخِه این کُجه و اون کُجه. مُتأسِفَم.,lotf akonin az akse interneti estefāde nakonin o akse khode mahsule banin. akhe in koje o un koje. mota'sefam,لُطف هاکٍرین عَکسایی اینتٍرنٍتی پی ایستیفادَه ناکٍرین، اون عَکسایی کو خوشتٍرَه دُرُست کٍرچیتُن وارزین، آخٍه اٍنی کُجَه وُ اونی کُجَه. مُتَأسٍفون,"lotf hākerin aksāii interneti pi istifāda nākerin, oun aksāii ko khushtera dorost kerchiton vārzin, ākhe eni koja vo ouni koja. motaessefun",لطف بکەین و ئکسەیڵ ئینتەرنتی ئستفادە نەکەین و ئکسە مەحصولە خۆدان بیڵین. ئاخە یه کۆره ئاوا وە کۆره؟ موتەئەسفەم,Lotf bekeyn wa akseyle interneti estefade nakeyn wa akse mahsule khowadān bilin. Akhe ya kura āwa wa kura? moteassefem,marhamat vekri o az aksāye interneti estefāde makrid o akse khoe mahsul ro onit ākhe mo koyā o o koyā mota'sefe
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,شدیدا اسیب دیده بود (طبق عکس اپلود شده),شدیدا اسیب دیده بود (طبق عکس اپلود شده),Had been severely injured (according to the uploaded photo).,كَپِس بيد,kapes bid,و کل خرد و بر ووبی,va kol khordo bar vowbi,شدید آسیب بِدِیه با (طبقِ عکسِ آپلود شُده).,shadid āsib bedeye bā (tebghe akse āplod shode),خِیلی خٍراب بٍبابا,kheyli kherāb bebābā,فره خەراو بی (جۆرە ئکسەگێ کە ئاپلۆود بیا),fera kherāw bi (jure aksagey ke āplowd biya),kheyli dāghune bzabo
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,به جای کیک وانیلی کاکائویی، کیک کاکائویی ساده ارسال شده بود.,به جای کیک وانیلی کاکائویی، کیک کاکائویی ساده ارسال شده بود.,"Instead of vanilla cocoa cake, a plain cocoa cake was sent.",اَ جا كيك وانيلی کاکائویی، کیک کاکائویی ساده فِرستادِن بيد,"a jā keyke vānili kākāoei, keyke kākāoei sādeh ferestāden bid.",جی کیک وانیلی کاکایویی کیک کاکایویی بسی کردنه,jey keyke vanili kaka'uyi keyke kaka'uyi basi kerdeneh,جای کیکِ وانیلی‌ه کاکائویی، یه کیکِ کاکائویی ساده ارسال اَکوردِن.,"jaye keyke vānili kākāoi, ye keyke kākāoi sāde ersāl akorden.",بٍه جایی کِیکی وانیلی کاکائویی، کِیکی کاکائویی سادِه وِسی بٍبابا.,"be jāyi keyki vānili kākāuyi, keyki kākāuyi sāde vesi bebābā.",وە جی کێیکە وانیلی کاکاوویی، کێیکە کاکاوویی سادە کل کەردون,"wa ji keike wānili kākāoui, keike kākāoui sāda kel kerdun ",yāge keyke vānili kākāui keyke kākāui sāda shnefta bo
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,خورشتش مزه آب میداد و ٩٥٪‏ حجم قیمش لپه بود: / اصلا پیشنهاد نمیکنم!!:,خورشتش مزه آب میداد و ٩٥٪‏ حجم قیمش لپه بود: / اصلا پیشنهاد نمیکنم!!:,The stew tasted watery and 95% of the volume of the meat was lentils: / I definitely do not recommend it!!:,خورشش مِزه اوِ داد و ٩٥٪؜ حجم قيمش لپه بيد. اصن نَمگُمِت گِری,khoreshesh mezeh owe dād va 95% hajm gheymash lapeh bid. asan nagomet geri.,خورشش طوم او ایداد همشم لپه بی. مو هم نیگوم که بسونین,khoreshesh tume ow idad hamasham lapeh bi. Mo ham nigom ke besunin,اینه خورش مَزه آب دنه با، ٪۹۵ حجم قیمه ‌لپه با؛ اَصلَن پیشنهاد نَکونُم.,ine khoresh maze āb dane bā %95 ine gheyme lape bā aslan pishnahād nakonom.,ژو خورِش اُوْین مَزَه دٍردِش و نُوِه وُ پَنج دَرصَدی ژو قِیمٍتی لَپِه بِن، اَصلا سٍفارٍش مٍناکٍرون.,"zho khuresh owvin maza derdesh o nove vo panj darsadi zho qeymeti lape ben, aslā sefāresh menākerun.",خۆرشتەگێ مزەی ئاو دیا، گەشتیشی لەپە بی، ئەصلن پێشنهاد نه‌کەم,"khoreshtagey mazey āw diyā, geshtishi lappa bi, aslan pishnāhād nakam",khoreshtosh maze ow shedā o navado panj darsade hajme gheymash lapa bo aslosh chi pishnahād nakre
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,بسیار عالی و به موقع، ممنونم,بسیار عالی و به موقع، ممنونم,"Very good and timely, thank you.",خیلی خوب و سر وقت، ممنونم,"kheyli khob va sar vaght, mamnonam.",مهلی خش بی و سر وقت. ممنونم,mahli khash bi va sare vaqt. Mamnunam,بسیار عالی و خوش‌موقع، ممنونُم.,"besyar āli o khosh moghe, mamnunom.",خِیلی عالی و بٍه مُوْقَه با، مَمنینون.,"kheyli āli o be mowqa bā, mamninun.",فره خاسو وە موقە، ده‌سەدان دەرد نه‌کەی,"fera khāso wa mogha, dasedān dard nakey",kheyli āli o be mowqa mamnunam
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,حجم ساندویجش کلا نصف شده!,حجم ساندویجش کلا نصف شده!,His sandwich size has completely halved!,حجم ساندویچش کلا نصف بوِس بيد,hajm sāndevichesh kolan nesf bowes bid,ساندویچش نصف ووبیده,sandvichesh nesf vobideh,حَجمِ ساندویچ کُلان نِصف با.,hajme sandevich kolan nesf bā,ساندٍویجین اٍندازَه نٍصف بٍبابا.,sāndevijin endāza nesf bebābā.,حەجمە ساندوێجەگێ کۆلن دو کۆتۆو بوو,hajme sāndewijagey kolan do kotow bu,hajme sāndevichosh aslan nesfa beza
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,عالی.. فقط جای یه چنگال خالی بود,عالی.. فقط جای یه چنگال خالی بود,Great.. there was just one empty spot for a fork.,همه چی خوب، فقط جای یَ چنگال خالی بید,"hame chi khob, faghat jaye ya changāl khāli bid",عالی بی فقط جی چنگال خالی بی,āli faqa jey changāl khāli bi,عالی… فقط یه چَنگاله‌جا خالی با.,āli .. faghat ye changāle ja khāli bā,عالی با، فَقٍد جایی اییَه چٍنگالین خالی با.,"āli bā, faqed jāyi iya chengālin khāli bā.",خاس ... فەقەت جی یەی چەنگیریگ خالی بی,khās ... faqad ji yey chengirig khāli bi,āli ... paghat yāge yaki changāl khāli bo
Persian,"Persian, Iranian",General,ParsiAI/snappfood-sentiment-analysis,فوق العاده بی نمک بود و بوی تند گوشت میداد,فوق العاده بی نمک بود و بوی تند گوشت میداد,It was extremely bland and had a strong smell of meat.,کَلِ بيد و بو گوشتِ داد,kale bid va bo  goshte dād,مهلی بی نمک بی او بوی ضخم گوشت ایدا,mahli bi namak bi o buye zokhme gusht idad,فوق‌العاده بی‌نَمَک با و بوی تُندِ گوشت دانه با.,fogholāde bi namak bā va boye tonde gusht dane bā,خِیلی بی‌نٍمٍک با وُ بویی تُندی گوشتی مادِش.,kheyli binemek bā vo buyi tondi gushti mādesh.,فره بی نمک بی، بوی گه‌نە گوشتیش دیا,"fera bi nemak bi, buy gane gushtish diyā",kheyli kheyli bimnak bo o buze tonde gush shadā
